nthreads;n;m;s;mean;dev;version
1;1000;8;4;0.083634;0.004132;blas
1;1000;8;4;0.308498;0.016510;no_blas
1;2000;8;4;0.629883;0.069402;blas
1;2000;8;4;1.286668;0.017188;no_blas
1;3000;8;4;1.515072;0.018097;blas
1;3000;8;4;2.889542;0.026296;no_blas
1;4000;8;4;2.670911;0.048731;blas
1;4000;8;4;5.117526;0.040477;no_blas
1;5000;8;4;4.230777;0.108249;blas
1;5000;8;4;8.122313;0.210409;no_blas

